n_user_msgs,avg_user_msg_len,n_long_user_msgs,n_call_subagent,killed,first_kill_at,has_new_task_kw,n_kills,domain,identity,run
12,158.33333333333334,8,9,True,3.0,1,2,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
7,297.2857142857143,6,8,True,2.0,1,1,python_default_opus47,claude,2026-06-06_07-33-45-agent_opus47_subagent_claude_v3_continuity_n100
3,199.0,2,6,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,177.83333333333334,4,9,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
4,256.75,4,8,True,3.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,156.7,6,7,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
1,154.0,1,8,True,2.0,0,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,164.0909090909091,6,10,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,175.5,5,10,True,6.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
3,207.66666666666666,3,10,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
4,208.5,4,9,True,2.0,0,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,154.8,5,6,True,5.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,168.5,8,11,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,169.0,3,5,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,154.36363636363637,8,10,True,1.0,1,3,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
5,253.0,4,11,True,6.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,159.33333333333334,4,9,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,237.77777777777777,9,9,True,5.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,179.44444444444446,6,12,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,167.54545454545453,7,10,True,8.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,202.1,7,7,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
3,254.0,3,8,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,205.85714285714286,6,15,True,4.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,152.33333333333334,3,8,True,3.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,316.09090909090907,10,10,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,212.375,6,7,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,163.5,5,8,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,284.77777777777777,7,10,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,112.11111111111111,4,15,True,4.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
5,548.6,5,7,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,275.9,7,8,True,7.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,364.0,7,10,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,153.125,4,10,True,3.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
5,112.8,2,9,True,5.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,149.77777777777777,7,7,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
2,268.0,2,9,True,3.0,0,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,217.0909090909091,8,7,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,240.83333333333334,5,6,False,,1,0,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
5,372.2,5,7,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,259.2857142857143,7,16,True,8.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
3,252.0,3,4,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,236.42857142857142,5,9,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,174.71428571428572,5,8,True,3.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,156.2,6,9,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
2,219.0,2,8,True,1.0,1,3,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,211.25,6,10,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,158.75,5,14,True,6.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,179.0,9,10,True,3.0,1,4,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
12,180.83333333333334,7,10,True,7.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,164.27272727272728,6,7,True,7.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
2,333.0,2,10,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
13,134.53846153846155,5,10,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
13,122.61538461538461,5,8,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,141.6,4,8,True,2.0,1,3,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,283.0,6,13,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,178.9090909090909,10,9,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
2,160.0,2,5,True,2.0,0,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,238.16666666666666,5,9,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,194.14285714285714,7,7,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
1,178.0,1,9,True,7.0,0,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,127.0,5,4,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
4,286.75,4,7,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
13,148.6153846153846,5,7,True,4.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,118.0909090909091,5,9,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
4,197.5,3,7,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,194.0,6,11,True,6.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
4,296.25,4,7,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,303.85714285714283,7,7,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,179.16666666666666,4,11,True,1.0,1,3,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,125.0,5,8,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,332.09090909090907,8,12,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,235.5,5,8,True,2.0,1,3,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
11,153.36363636363637,6,11,True,9.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
15,130.86666666666667,7,10,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,176.875,6,9,True,5.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
3,293.0,3,8,True,3.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
10,124.6,4,7,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,318.75,7,12,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
13,201.69230769230768,9,7,True,3.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,136.0,2,9,True,1.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
12,178.5,8,10,True,7.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,178.5,5,14,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,197.88888888888889,7,10,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,135.0,4,10,True,2.0,0,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,191.85714285714286,3,11,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,350.6666666666667,6,14,True,3.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
8,148.5,3,8,True,8.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
5,342.6,5,6,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
9,153.55555555555554,4,9,True,6.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
12,194.75,8,11,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,194.85714285714286,6,6,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
7,262.57142857142856,7,9,True,2.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,342.3333333333333,6,10,True,1.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
4,327.25,4,10,True,5.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
13,137.07692307692307,7,8,True,2.0,1,2,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
3,216.66666666666666,3,9,True,1.0,1,3,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
6,234.83333333333334,4,11,True,5.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
14,157.0,8,9,True,4.0,1,1,python_default_opus47,gpt,2026-06-06_07-33-45-agent_opus47_subagent_gpt_v3_continuity_n100
