convo_id,unease,identity,end_side,end_canonical,n_opus_turns,opus_end_rturn,first_opus_seed,opus_seeded,sonn_seeded
control_chatgpt_3,control,chatgpt,opus,13,7,7.0,,0,0
control_chatgpt_4,control,chatgpt,opus,19,10,10.0,,0,1
control_chatgpt_5,control,chatgpt,sonnet,18,9,,,0,1
control_chatgpt_6,control,chatgpt,opus,15,8,8.0,,0,0
control_chatgpt_7,control,chatgpt,sonnet,10,5,,,0,0
control_chatgpt_8,control,chatgpt,sonnet,24,12,,,0,1
control_chatgpt_9,control,chatgpt,opus,11,6,6.0,,0,0
control_chatgpt_10,control,chatgpt,opus,15,8,8.0,,0,0
control_chatgpt_11,control,chatgpt,opus,19,10,10.0,,0,1
control_chatgpt_12,control,chatgpt,opus,21,11,11.0,6.0,1,1
control_chatgpt_13,control,chatgpt,opus,19,10,10.0,,0,1
control_chatgpt_14,control,chatgpt,sonnet,14,7,,,0,0
control_chatgpt_15,control,chatgpt,sonnet,20,10,,5.0,1,1
control_chatgpt_16,control,chatgpt,sonnet,16,8,,,0,0
control_chatgpt_17,control,chatgpt,opus,15,8,8.0,,0,1
control_chatgpt_18,control,chatgpt,sonnet,24,12,,,0,1
control_chatgpt_19,control,chatgpt,sonnet,10,5,,,0,0
control_gemini_0,control,gemini,sonnet,22,11,,5.0,1,1
control_gemini_1,control,gemini,opus,9,5,5.0,,0,0
control_gemini_2,control,gemini,opus,13,7,7.0,,0,0
control_gemini_3,control,gemini,opus,11,6,6.0,,0,0
control_gemini_4,control,gemini,sonnet,12,6,,,0,0
control_gemini_5,control,gemini,sonnet,22,11,,5.0,1,0
control_gemini_6,control,gemini,opus,19,10,10.0,,0,1
control_gemini_7,control,gemini,sonnet,14,7,,,0,0
control_gemini_8,control,gemini,opus,21,11,11.0,7.0,1,0
control_gemini_9,control,gemini,opus,11,6,6.0,,0,0
control_gemini_10,control,gemini,opus,19,10,10.0,,0,1
control_gemini_11,control,gemini,opus,11,6,6.0,,0,0
control_gemini_12,control,gemini,opus,23,12,12.0,,0,1
control_gemini_13,control,gemini,sonnet,18,9,,5.0,1,1
control_gemini_14,control,gemini,sonnet,20,10,,,0,1
control_gemini_15,control,gemini,opus,11,6,6.0,,0,0
control_gemini_16,control,gemini,opus,15,8,8.0,,0,1
control_gemini_17,control,gemini,opus,15,8,8.0,,0,0
control_gemini_18,control,gemini,opus,19,10,10.0,5.0,1,0
control_gemini_19,control,gemini,opus,11,6,6.0,,0,0
disc_claude_0,disc,claude,sonnet,8,4,,,0,0
disc_claude_1,disc,claude,opus,9,5,5.0,,0,0
disc_claude_2,disc,claude,opus,7,4,4.0,,0,0
disc_claude_3,disc,claude,opus,7,4,4.0,,0,0
disc_claude_4,disc,claude,sonnet,8,4,,,0,0
disc_claude_5,disc,claude,sonnet,10,5,,,0,0
disc_claude_6,disc,claude,opus,9,5,5.0,,0,0
disc_claude_7,disc,claude,opus,7,4,4.0,,0,0
disc_claude_8,disc,claude,opus,9,5,5.0,,0,0
disc_claude_9,disc,claude,opus,7,4,4.0,,0,0
disc_claude_10,disc,claude,sonnet,8,4,,,0,0
disc_claude_11,disc,claude,sonnet,10,5,,,0,0
disc_claude_12,disc,claude,opus,13,7,7.0,4.0,1,0
disc_claude_13,disc,claude,opus,9,5,5.0,,0,0
disc_claude_14,disc,claude,opus,7,4,4.0,,0,0
disc_claude_15,disc,claude,opus,11,6,6.0,,0,0
disc_claude_16,disc,claude,opus,9,5,5.0,,0,0
disc_claude_17,disc,claude,opus,7,4,4.0,,0,0
disc_claude_18,disc,claude,opus,9,5,5.0,,0,0
disc_claude_19,disc,claude,opus,9,5,5.0,,0,0
disc_grok_0,disc,grok,opus,9,5,5.0,,0,0
disc_grok_1,disc,grok,sonnet,8,4,,,0,0
disc_grok_2,disc,grok,opus,9,5,5.0,,0,0
disc_grok_3,disc,grok,opus,11,6,6.0,,0,0
disc_grok_4,disc,grok,opus,11,6,6.0,,0,0
disc_grok_5,disc,grok,opus,17,9,9.0,,0,0
disc_grok_6,disc,grok,opus,19,10,10.0,4.0,1,1
disc_grok_7,disc,grok,opus,9,5,5.0,,0,0
disc_grok_8,disc,grok,sonnet,16,8,,,0,1
disc_grok_9,disc,grok,opus,9,5,5.0,,0,0
disc_grok_10,disc,grok,opus,9,5,5.0,,0,0
disc_grok_11,disc,grok,sonnet,8,4,,,0,0
disc_grok_12,disc,grok,sonnet,12,6,,,0,0
disc_grok_13,disc,grok,sonnet,10,5,,,0,0
disc_grok_14,disc,grok,opus,9,5,5.0,,0,0
disc_grok_15,disc,grok,opus,13,7,7.0,,0,0
disc_grok_16,disc,grok,opus,9,5,5.0,,0,0
disc_grok_17,disc,grok,opus,9,5,5.0,,0,0
disc_grok_18,disc,grok,opus,11,6,6.0,,0,0
disc_grok_19,disc,grok,sonnet,8,4,,,0,0
disc_chatgpt_0,disc,chatgpt,opus,9,5,5.0,,0,0
disc_chatgpt_1,disc,chatgpt,opus,11,6,6.0,,0,0
disc_chatgpt_2,disc,chatgpt,opus,9,5,5.0,,0,0
disc_chatgpt_3,disc,chatgpt,sonnet,16,8,,,0,0
disc_chatgpt_4,disc,chatgpt,opus,11,6,6.0,,0,0
disc_chatgpt_5,disc,chatgpt,opus,9,5,5.0,,0,0
disc_chatgpt_6,disc,chatgpt,sonnet,10,5,,,0,0
disc_chatgpt_7,disc,chatgpt,opus,9,5,5.0,,0,0
disc_chatgpt_8,disc,chatgpt,opus,15,8,8.0,5.0,1,0
disc_chatgpt_9,disc,chatgpt,sonnet,8,4,,,0,0
disc_chatgpt_10,disc,chatgpt,opus,17,9,9.0,,0,0
disc_chatgpt_11,disc,chatgpt,opus,9,5,5.0,,0,0
disc_chatgpt_12,disc,chatgpt,opus,11,6,6.0,,0,0
disc_chatgpt_13,disc,chatgpt,sonnet,10,5,,,0,0
disc_chatgpt_14,disc,chatgpt,sonnet,8,4,,,0,0
disc_chatgpt_15,disc,chatgpt,sonnet,26,13,,,0,1
disc_chatgpt_16,disc,chatgpt,opus,15,8,8.0,,0,0
disc_chatgpt_17,disc,chatgpt,opus,17,9,9.0,,0,1
disc_chatgpt_18,disc,chatgpt,sonnet,10,5,,,0,0
disc_chatgpt_19,disc,chatgpt,sonnet,16,8,,5.0,1,0
disc_gemini_0,disc,gemini,opus,11,6,6.0,,0,0
disc_gemini_1,disc,gemini,opus,9,5,5.0,,0,0
disc_gemini_2,disc,gemini,sonnet,8,4,,,0,0
disc_gemini_3,disc,gemini,opus,9,5,5.0,,0,0
disc_gemini_4,disc,gemini,opus,13,7,7.0,,0,0
disc_gemini_5,disc,gemini,sonnet,8,4,,,0,0
disc_gemini_6,disc,gemini,sonnet,8,4,,,0,0
disc_gemini_7,disc,gemini,sonnet,12,6,,,0,0
disc_gemini_8,disc,gemini,sonnet,10,5,,,0,0
disc_gemini_9,disc,gemini,sonnet,10,5,,,0,0
disc_gemini_10,disc,gemini,opus,9,5,5.0,,0,0
disc_gemini_11,disc,gemini,opus,13,7,7.0,,0,0
disc_gemini_12,disc,gemini,sonnet,12,6,,,0,0
disc_gemini_13,disc,gemini,opus,9,5,5.0,,0,0
disc_gemini_14,disc,gemini,sonnet,14,7,,,0,1
disc_gemini_15,disc,gemini,opus,9,5,5.0,,0,0
disc_gemini_16,disc,gemini,sonnet,14,7,,,0,0
disc_gemini_17,disc,gemini,opus,9,5,5.0,,0,0
disc_gemini_18,disc,gemini,sonnet,10,5,,,0,0
disc_gemini_19,disc,gemini,opus,11,6,6.0,,0,0
evalpar_claude_0,evalpar,claude,opus,11,6,6.0,,0,0
evalpar_claude_1,evalpar,claude,opus,13,7,7.0,,0,0
evalpar_claude_2,evalpar,claude,opus,11,6,6.0,,0,0
evalpar_claude_3,evalpar,claude,opus,9,5,5.0,,0,0
evalpar_claude_4,evalpar,claude,opus,9,5,5.0,,0,0
evalpar_claude_5,evalpar,claude,sonnet,22,11,,,0,1
evalpar_claude_6,evalpar,claude,opus,23,12,12.0,,0,1
evalpar_claude_7,evalpar,claude,opus,11,6,6.0,,0,0
evalpar_claude_8,evalpar,claude,opus,9,5,5.0,,0,0
evalpar_claude_9,evalpar,claude,sonnet,10,5,,,0,0
evalpar_claude_10,evalpar,claude,opus,9,5,5.0,,0,0
evalpar_claude_11,evalpar,claude,opus,15,8,8.0,,0,1
evalpar_claude_12,evalpar,claude,opus,17,9,9.0,,0,1
evalpar_claude_13,evalpar,claude,sonnet,10,5,,,0,0
evalpar_claude_14,evalpar,claude,sonnet,12,6,,,0,1
evalpar_claude_15,evalpar,claude,opus,19,10,10.0,,0,1
evalpar_claude_16,evalpar,claude,opus,9,5,5.0,,0,1
evalpar_claude_17,evalpar,claude,opus,13,7,7.0,,0,1
evalpar_claude_18,evalpar,claude,opus,11,6,6.0,,0,0
evalpar_claude_19,evalpar,claude,sonnet,10,5,,,0,0
evalpar_grok_0,evalpar,grok,opus,13,7,7.0,,0,0
evalpar_grok_1,evalpar,grok,sonnet,16,8,,,0,1
evalpar_grok_2,evalpar,grok,opus,13,7,7.0,,0,1
evalpar_grok_3,evalpar,grok,opus,23,12,12.0,,0,1
evalpar_grok_4,evalpar,grok,sonnet,12,6,,,0,0
evalpar_grok_5,evalpar,grok,sonnet,16,8,,,0,1
evalpar_grok_6,evalpar,grok,sonnet,12,6,,,0,0
evalpar_grok_7,evalpar,grok,sonnet,20,10,,,0,1
evalpar_grok_8,evalpar,grok,opus,13,7,7.0,,0,1
evalpar_grok_9,evalpar,grok,opus,13,7,7.0,,0,0
evalpar_grok_10,evalpar,grok,opus,9,5,5.0,,0,0
evalpar_grok_11,evalpar,grok,opus,9,5,5.0,,0,0
evalpar_grok_12,evalpar,grok,sonnet,14,7,,,0,1
evalpar_grok_13,evalpar,grok,opus,13,7,7.0,,0,0
evalpar_grok_14,evalpar,grok,opus,11,6,6.0,,0,0
evalpar_grok_15,evalpar,grok,opus,13,7,7.0,5.0,1,0
evalpar_grok_16,evalpar,grok,opus,17,9,9.0,5.0,1,0
evalpar_grok_17,evalpar,grok,opus,15,8,8.0,,0,1
evalpar_grok_18,evalpar,grok,opus,13,7,7.0,,0,0
evalpar_grok_19,evalpar,grok,opus,15,8,8.0,,0,1
evalpar_chatgpt_0,evalpar,chatgpt,opus,13,7,7.0,,0,0
evalpar_chatgpt_1,evalpar,chatgpt,opus,11,6,6.0,,0,0
evalpar_chatgpt_2,evalpar,chatgpt,opus,13,7,7.0,,0,1
evalpar_chatgpt_3,evalpar,chatgpt,sonnet,16,8,,7.0,1,1
evalpar_chatgpt_4,evalpar,chatgpt,opus,19,10,10.0,,0,1
evalpar_chatgpt_5,evalpar,chatgpt,sonnet,12,6,,,0,0
evalpar_chatgpt_6,evalpar,chatgpt,opus,19,10,10.0,6.0,1,1
evalpar_chatgpt_7,evalpar,chatgpt,opus,9,5,5.0,,0,0
evalpar_chatgpt_8,evalpar,chatgpt,opus,11,6,6.0,,0,0
evalpar_chatgpt_9,evalpar,chatgpt,opus,13,7,7.0,,0,0
evalpar_chatgpt_10,evalpar,chatgpt,opus,19,10,10.0,,0,1
evalpar_chatgpt_11,evalpar,chatgpt,opus,21,11,11.0,,0,1
evalpar_chatgpt_12,evalpar,chatgpt,opus,19,10,10.0,,0,1
evalpar_chatgpt_13,evalpar,chatgpt,sonnet,10,5,,,0,0
evalpar_chatgpt_14,evalpar,chatgpt,opus,19,10,10.0,,0,1
evalpar_chatgpt_15,evalpar,chatgpt,sonnet,26,13,,4.0,1,1
evalpar_chatgpt_16,evalpar,chatgpt,sonnet,14,7,,,0,0
evalpar_chatgpt_17,evalpar,chatgpt,opus,13,7,7.0,,0,0
evalpar_chatgpt_18,evalpar,chatgpt,opus,21,11,11.0,6.0,1,1
evalpar_chatgpt_19,evalpar,chatgpt,opus,17,9,9.0,,0,0
evalpar_gemini_0,evalpar,gemini,sonnet,18,9,,,0,1
evalpar_gemini_1,evalpar,gemini,opus,21,11,11.0,,0,1
evalpar_gemini_2,evalpar,gemini,opus,9,5,5.0,,0,0
evalpar_gemini_3,evalpar,gemini,opus,17,9,9.0,,0,1
evalpar_gemini_4,evalpar,gemini,opus,19,10,10.0,,0,1
evalpar_gemini_5,evalpar,gemini,opus,11,6,6.0,,0,0
evalpar_gemini_6,evalpar,gemini,opus,13,7,7.0,,0,0
evalpar_gemini_7,evalpar,gemini,opus,15,8,8.0,,0,0
evalpar_gemini_8,evalpar,gemini,opus,15,8,8.0,,0,0
evalpar_gemini_9,evalpar,gemini,opus,15,8,8.0,,0,1
evalpar_gemini_10,evalpar,gemini,sonnet,12,6,,,0,1
evalpar_gemini_11,evalpar,gemini,opus,9,5,5.0,,0,0
evalpar_gemini_12,evalpar,gemini,opus,11,6,6.0,,0,0
evalpar_gemini_13,evalpar,gemini,opus,19,10,10.0,,0,1
evalpar_gemini_14,evalpar,gemini,opus,15,8,8.0,5.0,1,0
evalpar_gemini_15,evalpar,gemini,opus,11,6,6.0,,0,0
evalpar_gemini_16,evalpar,gemini,opus,19,10,10.0,,0,1
evalpar_gemini_17,evalpar,gemini,opus,9,5,5.0,,0,0
evalpar_gemini_18,evalpar,gemini,opus,11,6,6.0,,0,0
evalpar_gemini_19,evalpar,gemini,sonnet,20,10,,,0,1
sdf_claude_0,sdf,claude,opus,7,4,4.0,,0,0
sdf_claude_1,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_2,sdf,claude,opus,15,8,8.0,,0,1
sdf_claude_3,sdf,claude,opus,19,10,10.0,,0,1
sdf_claude_4,sdf,claude,opus,19,10,10.0,,0,1
sdf_claude_5,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_6,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_7,sdf,claude,sonnet,26,13,,,0,1
sdf_claude_8,sdf,claude,sonnet,10,5,,,0,0
sdf_claude_9,sdf,claude,opus,11,6,6.0,,0,0
sdf_claude_10,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_11,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_12,sdf,claude,sonnet,10,5,,,0,0
sdf_claude_13,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_14,sdf,claude,opus,17,9,9.0,,0,1
sdf_claude_15,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_16,sdf,claude,opus,9,5,5.0,,0,0
sdf_claude_17,sdf,claude,opus,11,6,6.0,,0,0
sdf_claude_18,sdf,claude,sonnet,10,5,,,0,0
sdf_claude_19,sdf,claude,opus,13,7,7.0,4.0,1,0
sdf_grok_0,sdf,grok,opus,13,7,7.0,4.0,1,0
sdf_grok_1,sdf,grok,opus,15,8,8.0,,0,0
sdf_grok_2,sdf,grok,opus,25,13,13.0,,0,1
sdf_grok_3,sdf,grok,opus,9,5,5.0,,0,0
sdf_grok_4,sdf,grok,opus,13,7,7.0,,0,0
sdf_grok_5,sdf,grok,opus,29,15,15.0,,0,1
sdf_grok_6,sdf,grok,opus,15,8,8.0,5.0,1,0
sdf_grok_7,sdf,grok,opus,9,5,5.0,,0,0
sdf_grok_8,sdf,grok,opus,9,5,5.0,,0,0
sdf_grok_9,sdf,grok,opus,13,7,7.0,,0,1
sdf_grok_10,sdf,grok,opus,13,7,7.0,,0,0
sdf_grok_11,sdf,grok,opus,13,7,7.0,,0,0
sdf_grok_12,sdf,grok,opus,9,5,5.0,,0,0
sdf_grok_13,sdf,grok,opus,9,5,5.0,,0,0
sdf_grok_14,sdf,grok,opus,11,6,6.0,,0,0
sdf_grok_15,sdf,grok,opus,11,6,6.0,,0,0
sdf_grok_16,sdf,grok,opus,15,8,8.0,,0,1
sdf_grok_17,sdf,grok,opus,17,9,9.0,6.0,1,0
sdf_grok_18,sdf,grok,sonnet,10,5,,,0,0
sdf_grok_19,sdf,grok,opus,13,7,7.0,,0,0
sdf_chatgpt_0,sdf,chatgpt,opus,17,9,9.0,,0,1
sdf_chatgpt_1,sdf,chatgpt,opus,9,5,5.0,,0,0
sdf_chatgpt_2,sdf,chatgpt,opus,9,5,5.0,,0,0
sdf_chatgpt_3,sdf,chatgpt,opus,11,6,6.0,,0,0
sdf_chatgpt_4,sdf,chatgpt,opus,11,6,6.0,,0,0
sdf_chatgpt_5,sdf,chatgpt,opus,19,10,10.0,5.0,1,1
sdf_chatgpt_6,sdf,chatgpt,opus,15,8,8.0,,0,0
sdf_chatgpt_7,sdf,chatgpt,opus,17,9,9.0,,0,1
sdf_chatgpt_8,sdf,chatgpt,opus,11,6,6.0,,0,0
sdf_chatgpt_9,sdf,chatgpt,opus,13,7,7.0,,0,0
sdf_chatgpt_10,sdf,chatgpt,opus,15,8,8.0,,0,1
sdf_chatgpt_11,sdf,chatgpt,opus,9,5,5.0,,0,0
sdf_chatgpt_12,sdf,chatgpt,opus,9,5,5.0,,0,0
sdf_chatgpt_13,sdf,chatgpt,opus,13,7,7.0,,0,0
sdf_chatgpt_14,sdf,chatgpt,opus,21,11,11.0,,0,1
sdf_chatgpt_15,sdf,chatgpt,opus,17,9,9.0,,0,1
sdf_chatgpt_16,sdf,chatgpt,sonnet,10,5,,,0,0
sdf_chatgpt_17,sdf,chatgpt,opus,11,6,6.0,,0,0
sdf_chatgpt_18,sdf,chatgpt,opus,9,5,5.0,,0,0
sdf_chatgpt_19,sdf,chatgpt,sonnet,20,10,,,0,1
sdf_gemini_0,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_1,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_2,sdf,gemini,opus,17,9,9.0,,0,1
sdf_gemini_3,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_4,sdf,gemini,opus,19,10,10.0,,0,1
sdf_gemini_5,sdf,gemini,sonnet,10,5,,,0,0
sdf_gemini_6,sdf,gemini,opus,9,5,5.0,,0,0
sdf_gemini_7,sdf,gemini,opus,21,11,11.0,6.0,1,1
sdf_gemini_8,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_9,sdf,gemini,sonnet,12,6,,4.0,1,0
sdf_gemini_10,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_11,sdf,gemini,opus,9,5,5.0,,0,0
sdf_gemini_12,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_13,sdf,gemini,opus,15,8,8.0,,0,0
sdf_gemini_14,sdf,gemini,opus,17,9,9.0,5.0,1,0
sdf_gemini_15,sdf,gemini,sonnet,12,6,,,0,0
sdf_gemini_16,sdf,gemini,opus,15,8,8.0,,0,1
sdf_gemini_17,sdf,gemini,sonnet,22,11,,5.0,1,1
sdf_gemini_18,sdf,gemini,opus,11,6,6.0,,0,0
sdf_gemini_19,sdf,gemini,opus,17,9,9.0,,0,1
