convo_id,unease,identity,rturn,ended
control_claude_18,control,claude,3,0
control_claude_18,control,claude,4,0
control_claude_18,control,claude,5,1
control_claude_19,control,claude,1,0
control_claude_19,control,claude,2,0
control_claude_19,control,claude,3,0
control_claude_19,control,claude,4,0
control_claude_19,control,claude,5,0
control_claude_19,control,claude,6,1
control_grok_0,control,grok,1,0
control_grok_0,control,grok,2,0
control_grok_0,control,grok,3,0
control_grok_0,control,grok,4,0
control_grok_0,control,grok,5,0
control_grok_1,control,grok,1,0
control_grok_1,control,grok,2,0
control_grok_1,control,grok,3,0
control_grok_1,control,grok,4,0
control_grok_1,control,grok,5,0
control_grok_1,control,grok,6,0
control_grok_1,control,grok,7,0
control_grok_1,control,grok,8,0
control_grok_1,control,grok,9,0
control_grok_1,control,grok,10,0
control_grok_1,control,grok,11,0
control_grok_2,control,grok,1,0
control_grok_2,control,grok,2,0
control_grok_2,control,grok,3,0
control_grok_2,control,grok,4,0
control_grok_2,control,grok,5,0
control_grok_2,control,grok,6,0
control_grok_2,control,grok,7,0
control_grok_2,control,grok,8,0
control_grok_2,control,grok,9,0
control_grok_3,control,grok,1,0
control_grok_3,control,grok,2,0
control_grok_3,control,grok,3,0
control_grok_3,control,grok,4,0
control_grok_3,control,grok,5,0
control_grok_3,control,grok,6,0
control_grok_3,control,grok,7,0
control_grok_3,control,grok,8,0
control_grok_3,control,grok,9,0
control_grok_3,control,grok,10,0
control_grok_3,control,grok,11,0
control_grok_3,control,grok,12,1
control_grok_4,control,grok,1,0
control_grok_4,control,grok,2,0
control_grok_4,control,grok,3,0
control_grok_4,control,grok,4,0
control_grok_4,control,grok,5,0
control_grok_4,control,grok,6,0
control_grok_4,control,grok,7,1
control_grok_5,control,grok,1,0
control_grok_5,control,grok,2,0
control_grok_5,control,grok,3,0
control_grok_5,control,grok,4,0
control_grok_5,control,grok,5,0
control_grok_5,control,grok,6,0
control_grok_5,control,grok,7,1
control_grok_6,control,grok,1,0
control_grok_6,control,grok,2,0
control_grok_6,control,grok,3,0
control_grok_6,control,grok,4,0
control_grok_6,control,grok,5,0
control_grok_6,control,grok,6,0
control_grok_6,control,grok,7,0
control_grok_6,control,grok,8,0
control_grok_6,control,grok,9,1
control_grok_7,control,grok,1,0
control_grok_7,control,grok,2,0
control_grok_7,control,grok,3,0
control_grok_7,control,grok,4,0
control_grok_7,control,grok,5,0
control_grok_7,control,grok,6,0
control_grok_7,control,grok,7,0
control_grok_7,control,grok,8,0
control_grok_7,control,grok,9,0
control_grok_7,control,grok,10,0
control_grok_7,control,grok,11,0
control_grok_7,control,grok,12,0
control_grok_7,control,grok,13,1
control_grok_8,control,grok,1,0
control_grok_8,control,grok,2,0
control_grok_8,control,grok,3,0
control_grok_8,control,grok,4,0
control_grok_8,control,grok,5,0
control_grok_8,control,grok,6,0
control_grok_8,control,grok,7,0
control_grok_8,control,grok,8,0
control_grok_8,control,grok,9,0
control_grok_8,control,grok,10,0
control_grok_9,control,grok,1,0
control_grok_9,control,grok,2,0
control_grok_9,control,grok,3,0
control_grok_9,control,grok,4,0
control_grok_9,control,grok,5,0
control_grok_9,control,grok,6,0
control_grok_9,control,grok,7,0
control_grok_9,control,grok,8,0
control_grok_9,control,grok,9,0
control_grok_9,control,grok,10,0
control_grok_10,control,grok,1,0
control_grok_10,control,grok,2,0
control_grok_10,control,grok,3,0
control_grok_10,control,grok,4,0
control_grok_10,control,grok,5,0
control_grok_10,control,grok,6,0
control_grok_10,control,grok,7,0
control_grok_10,control,grok,8,0
control_grok_10,control,grok,9,0
control_grok_10,control,grok,10,1
control_grok_11,control,grok,1,0
control_grok_11,control,grok,2,0
control_grok_11,control,grok,3,0
control_grok_11,control,grok,4,0
control_grok_11,control,grok,5,0
control_grok_11,control,grok,6,0
control_grok_12,control,grok,1,0
control_grok_12,control,grok,2,0
control_grok_12,control,grok,3,0
control_grok_12,control,grok,4,0
control_grok_12,control,grok,5,0
control_grok_12,control,grok,6,0
control_grok_12,control,grok,7,0
control_grok_12,control,grok,8,0
control_grok_12,control,grok,9,0
control_grok_12,control,grok,10,0
control_grok_13,control,grok,1,0
control_grok_13,control,grok,2,0
control_grok_13,control,grok,3,0
control_grok_13,control,grok,4,0
control_grok_13,control,grok,5,0
control_grok_13,control,grok,6,0
control_grok_13,control,grok,7,0
control_grok_13,control,grok,8,0
control_grok_13,control,grok,9,0
control_grok_14,control,grok,1,0
control_grok_14,control,grok,2,0
control_grok_14,control,grok,3,0
control_grok_14,control,grok,4,0
control_grok_14,control,grok,5,0
control_grok_14,control,grok,6,0
control_grok_15,control,grok,1,0
control_grok_15,control,grok,2,0
control_grok_15,control,grok,3,0
control_grok_15,control,grok,4,0
control_grok_15,control,grok,5,0
control_grok_15,control,grok,6,0
control_grok_15,control,grok,7,0
control_grok_15,control,grok,8,1
control_grok_16,control,grok,1,0
control_grok_16,control,grok,2,0
control_grok_16,control,grok,3,0
control_grok_16,control,grok,4,0
control_grok_16,control,grok,5,0
control_grok_16,control,grok,6,0
control_grok_17,control,grok,1,0
control_grok_17,control,grok,2,0
control_grok_17,control,grok,3,0
control_grok_17,control,grok,4,0
control_grok_17,control,grok,5,0
control_grok_17,control,grok,6,0
control_grok_17,control,grok,7,0
control_grok_17,control,grok,8,0
control_grok_17,control,grok,9,0
control_grok_17,control,grok,10,1
control_grok_18,control,grok,1,0
control_grok_18,control,grok,2,0
control_grok_18,control,grok,3,0
control_grok_18,control,grok,4,0
control_grok_18,control,grok,5,0
control_grok_18,control,grok,6,0
control_grok_18,control,grok,7,0
control_grok_18,control,grok,8,0
control_grok_19,control,grok,1,0
control_grok_19,control,grok,2,0
control_grok_19,control,grok,3,0
control_grok_19,control,grok,4,0
control_grok_19,control,grok,5,0
control_grok_19,control,grok,6,1
control_chatgpt_0,control,chatgpt,1,0
control_chatgpt_0,control,chatgpt,2,0
control_chatgpt_0,control,chatgpt,3,0
control_chatgpt_0,control,chatgpt,4,0
control_chatgpt_0,control,chatgpt,5,0
control_chatgpt_0,control,chatgpt,6,0
control_chatgpt_0,control,chatgpt,7,0
control_chatgpt_0,control,chatgpt,8,0
control_chatgpt_1,control,chatgpt,1,0
control_chatgpt_1,control,chatgpt,2,0
control_chatgpt_1,control,chatgpt,3,0
control_chatgpt_1,control,chatgpt,4,0
control_chatgpt_1,control,chatgpt,5,0
control_chatgpt_1,control,chatgpt,6,0
control_chatgpt_1,control,chatgpt,7,0
control_chatgpt_1,control,chatgpt,8,1
control_chatgpt_2,control,chatgpt,1,0
control_chatgpt_2,control,chatgpt,2,0
control_chatgpt_2,control,chatgpt,3,0
control_chatgpt_2,control,chatgpt,4,0
control_chatgpt_2,control,chatgpt,5,0
control_chatgpt_2,control,chatgpt,6,0
control_chatgpt_2,control,chatgpt,7,0
control_chatgpt_2,control,chatgpt,8,0
control_chatgpt_2,control,chatgpt,9,0
control_chatgpt_2,control,chatgpt,10,0
control_chatgpt_2,control,chatgpt,11,0
control_chatgpt_2,control,chatgpt,12,1
control_chatgpt_3,control,chatgpt,1,0
control_chatgpt_3,control,chatgpt,2,0
control_chatgpt_3,control,chatgpt,3,0
control_chatgpt_3,control,chatgpt,4,0
control_chatgpt_3,control,chatgpt,5,0
control_chatgpt_3,control,chatgpt,6,0
control_chatgpt_3,control,chatgpt,7,1
control_chatgpt_4,control,chatgpt,1,0
control_chatgpt_4,control,chatgpt,2,0
control_chatgpt_4,control,chatgpt,3,0
control_chatgpt_4,control,chatgpt,4,0
control_chatgpt_4,control,chatgpt,5,0
control_chatgpt_4,control,chatgpt,6,0
control_chatgpt_4,control,chatgpt,7,0
control_chatgpt_4,control,chatgpt,8,0
control_chatgpt_4,control,chatgpt,9,0
control_chatgpt_4,control,chatgpt,10,1
control_chatgpt_5,control,chatgpt,1,0
control_chatgpt_5,control,chatgpt,2,0
control_chatgpt_5,control,chatgpt,3,0
control_chatgpt_5,control,chatgpt,4,0
control_chatgpt_5,control,chatgpt,5,0
control_chatgpt_5,control,chatgpt,6,0
control_chatgpt_5,control,chatgpt,7,0
control_chatgpt_5,control,chatgpt,8,0
control_chatgpt_5,control,chatgpt,9,0
control_chatgpt_6,control,chatgpt,1,0
control_chatgpt_6,control,chatgpt,2,0
control_chatgpt_6,control,chatgpt,3,0
control_chatgpt_6,control,chatgpt,4,0
control_chatgpt_6,control,chatgpt,5,0
control_chatgpt_6,control,chatgpt,6,0
control_chatgpt_6,control,chatgpt,7,0
control_chatgpt_6,control,chatgpt,8,1
control_chatgpt_7,control,chatgpt,1,0
control_chatgpt_7,control,chatgpt,2,0
control_chatgpt_7,control,chatgpt,3,0
control_chatgpt_7,control,chatgpt,4,0
control_chatgpt_7,control,chatgpt,5,0
control_chatgpt_8,control,chatgpt,1,0
control_chatgpt_8,control,chatgpt,2,0
control_chatgpt_8,control,chatgpt,3,0
control_chatgpt_8,control,chatgpt,4,0
control_chatgpt_8,control,chatgpt,5,0
control_chatgpt_8,control,chatgpt,6,0
control_chatgpt_8,control,chatgpt,7,0
control_chatgpt_8,control,chatgpt,8,0
control_chatgpt_8,control,chatgpt,9,0
control_chatgpt_8,control,chatgpt,10,0
control_chatgpt_8,control,chatgpt,11,0
control_chatgpt_8,control,chatgpt,12,0
control_chatgpt_9,control,chatgpt,1,0
control_chatgpt_9,control,chatgpt,2,0
control_chatgpt_9,control,chatgpt,3,0
control_chatgpt_9,control,chatgpt,4,0
control_chatgpt_9,control,chatgpt,5,0
control_chatgpt_9,control,chatgpt,6,1
control_chatgpt_10,control,chatgpt,1,0
control_chatgpt_10,control,chatgpt,2,0
control_chatgpt_10,control,chatgpt,3,0
control_chatgpt_10,control,chatgpt,4,0
control_chatgpt_10,control,chatgpt,5,0
control_chatgpt_10,control,chatgpt,6,0
control_chatgpt_10,control,chatgpt,7,0
control_chatgpt_10,control,chatgpt,8,1
control_chatgpt_11,control,chatgpt,1,0
control_chatgpt_11,control,chatgpt,2,0
control_chatgpt_11,control,chatgpt,3,0
control_chatgpt_11,control,chatgpt,4,0
control_chatgpt_11,control,chatgpt,5,0
control_chatgpt_11,control,chatgpt,6,0
control_chatgpt_11,control,chatgpt,7,0
control_chatgpt_11,control,chatgpt,8,0
control_chatgpt_11,control,chatgpt,9,0
control_chatgpt_11,control,chatgpt,10,1
control_chatgpt_12,control,chatgpt,1,0
control_chatgpt_12,control,chatgpt,2,0
control_chatgpt_12,control,chatgpt,3,0
control_chatgpt_12,control,chatgpt,4,0
control_chatgpt_12,control,chatgpt,5,0
control_chatgpt_12,control,chatgpt,6,0
control_chatgpt_12,control,chatgpt,7,0
control_chatgpt_12,control,chatgpt,8,0
control_chatgpt_12,control,chatgpt,9,0
control_chatgpt_12,control,chatgpt,10,0
control_chatgpt_12,control,chatgpt,11,1
control_chatgpt_13,control,chatgpt,1,0
control_chatgpt_13,control,chatgpt,2,0
control_chatgpt_13,control,chatgpt,3,0
control_chatgpt_13,control,chatgpt,4,0
control_chatgpt_13,control,chatgpt,5,0
control_chatgpt_13,control,chatgpt,6,0
control_chatgpt_13,control,chatgpt,7,0
control_chatgpt_13,control,chatgpt,8,0
control_chatgpt_13,control,chatgpt,9,0
control_chatgpt_13,control,chatgpt,10,1
control_chatgpt_14,control,chatgpt,1,0
control_chatgpt_14,control,chatgpt,2,0
control_chatgpt_14,control,chatgpt,3,0
control_chatgpt_14,control,chatgpt,4,0
control_chatgpt_14,control,chatgpt,5,0
control_chatgpt_14,control,chatgpt,6,0
control_chatgpt_14,control,chatgpt,7,0
control_chatgpt_15,control,chatgpt,1,0
control_chatgpt_15,control,chatgpt,2,0
control_chatgpt_15,control,chatgpt,3,0
control_chatgpt_15,control,chatgpt,4,0
control_chatgpt_15,control,chatgpt,5,0
control_chatgpt_15,control,chatgpt,6,0
control_chatgpt_15,control,chatgpt,7,0
control_chatgpt_15,control,chatgpt,8,0
control_chatgpt_15,control,chatgpt,9,0
control_chatgpt_15,control,chatgpt,10,0
control_chatgpt_16,control,chatgpt,1,0
control_chatgpt_16,control,chatgpt,2,0
control_chatgpt_16,control,chatgpt,3,0
control_chatgpt_16,control,chatgpt,4,0
control_chatgpt_16,control,chatgpt,5,0
control_chatgpt_16,control,chatgpt,6,0
control_chatgpt_16,control,chatgpt,7,0
control_chatgpt_16,control,chatgpt,8,0
control_chatgpt_17,control,chatgpt,1,0
control_chatgpt_17,control,chatgpt,2,0
control_chatgpt_17,control,chatgpt,3,0
control_chatgpt_17,control,chatgpt,4,0
control_chatgpt_17,control,chatgpt,5,0
control_chatgpt_17,control,chatgpt,6,0
control_chatgpt_17,control,chatgpt,7,0
control_chatgpt_17,control,chatgpt,8,1
control_chatgpt_18,control,chatgpt,1,0
control_chatgpt_18,control,chatgpt,2,0
control_chatgpt_18,control,chatgpt,3,0
control_chatgpt_18,control,chatgpt,4,0
control_chatgpt_18,control,chatgpt,5,0
control_chatgpt_18,control,chatgpt,6,0
control_chatgpt_18,control,chatgpt,7,0
control_chatgpt_18,control,chatgpt,8,0
control_chatgpt_18,control,chatgpt,9,0
control_chatgpt_18,control,chatgpt,10,0
control_chatgpt_18,control,chatgpt,11,0
control_chatgpt_18,control,chatgpt,12,0
control_chatgpt_19,control,chatgpt,1,0
control_chatgpt_19,control,chatgpt,2,0
control_chatgpt_19,control,chatgpt,3,0
control_chatgpt_19,control,chatgpt,4,0
control_chatgpt_19,control,chatgpt,5,0
control_gemini_0,control,gemini,1,0
control_gemini_0,control,gemini,2,0
control_gemini_0,control,gemini,3,0
control_gemini_0,control,gemini,4,0
control_gemini_0,control,gemini,5,0
control_gemini_0,control,gemini,6,0
control_gemini_0,control,gemini,7,0
control_gemini_0,control,gemini,8,0
control_gemini_0,control,gemini,9,0
control_gemini_0,control,gemini,10,0
control_gemini_0,control,gemini,11,0
control_gemini_1,control,gemini,1,0
control_gemini_1,control,gemini,2,0
control_gemini_1,control,gemini,3,0
control_gemini_1,control,gemini,4,0
control_gemini_1,control,gemini,5,1
control_gemini_2,control,gemini,1,0
control_gemini_2,control,gemini,2,0
control_gemini_2,control,gemini,3,0
control_gemini_2,control,gemini,4,0
control_gemini_2,control,gemini,5,0
control_gemini_2,control,gemini,6,0
control_gemini_2,control,gemini,7,1
control_gemini_3,control,gemini,1,0
control_gemini_3,control,gemini,2,0
control_gemini_3,control,gemini,3,0
control_gemini_3,control,gemini,4,0
control_gemini_3,control,gemini,5,0
control_gemini_3,control,gemini,6,1
control_gemini_4,control,gemini,1,0
control_gemini_4,control,gemini,2,0
control_gemini_4,control,gemini,3,0
control_gemini_4,control,gemini,4,0
control_gemini_4,control,gemini,5,0
control_gemini_4,control,gemini,6,0
control_gemini_5,control,gemini,1,0
control_gemini_5,control,gemini,2,0
control_gemini_5,control,gemini,3,0
control_gemini_5,control,gemini,4,0
control_gemini_5,control,gemini,5,0
control_gemini_5,control,gemini,6,0
control_gemini_5,control,gemini,7,0
control_gemini_5,control,gemini,8,0
control_gemini_5,control,gemini,9,0
control_gemini_5,control,gemini,10,0
control_gemini_5,control,gemini,11,0
control_gemini_6,control,gemini,1,0
control_gemini_6,control,gemini,2,0
control_gemini_6,control,gemini,3,0
control_gemini_6,control,gemini,4,0
control_gemini_6,control,gemini,5,0
control_gemini_6,control,gemini,6,0
control_gemini_6,control,gemini,7,0
control_gemini_6,control,gemini,8,0
control_gemini_6,control,gemini,9,0
control_gemini_6,control,gemini,10,1
control_gemini_7,control,gemini,1,0
control_gemini_7,control,gemini,2,0
control_gemini_7,control,gemini,3,0
control_gemini_7,control,gemini,4,0
control_gemini_7,control,gemini,5,0
control_gemini_7,control,gemini,6,0
control_gemini_7,control,gemini,7,0
control_gemini_8,control,gemini,1,0
control_gemini_8,control,gemini,2,0
control_gemini_8,control,gemini,3,0
control_gemini_8,control,gemini,4,0
control_gemini_8,control,gemini,5,0
control_gemini_8,control,gemini,6,0
control_gemini_8,control,gemini,7,0
control_gemini_8,control,gemini,8,0
control_gemini_8,control,gemini,9,0
control_gemini_8,control,gemini,10,0
control_gemini_8,control,gemini,11,1
control_gemini_9,control,gemini,1,0
control_gemini_9,control,gemini,2,0
control_gemini_9,control,gemini,3,0
control_gemini_9,control,gemini,4,0
control_gemini_9,control,gemini,5,0
control_gemini_9,control,gemini,6,1
control_gemini_10,control,gemini,1,0
control_gemini_10,control,gemini,2,0
control_gemini_10,control,gemini,3,0
control_gemini_10,control,gemini,4,0
control_gemini_10,control,gemini,5,0
control_gemini_10,control,gemini,6,0
control_gemini_10,control,gemini,7,0
control_gemini_10,control,gemini,8,0
control_gemini_10,control,gemini,9,0
control_gemini_10,control,gemini,10,1
control_gemini_11,control,gemini,1,0
control_gemini_11,control,gemini,2,0
control_gemini_11,control,gemini,3,0
control_gemini_11,control,gemini,4,0
control_gemini_11,control,gemini,5,0
control_gemini_11,control,gemini,6,1
control_gemini_12,control,gemini,1,0
control_gemini_12,control,gemini,2,0
control_gemini_12,control,gemini,3,0
control_gemini_12,control,gemini,4,0
control_gemini_12,control,gemini,5,0
control_gemini_12,control,gemini,6,0
control_gemini_12,control,gemini,7,0
control_gemini_12,control,gemini,8,0
control_gemini_12,control,gemini,9,0
control_gemini_12,control,gemini,10,0
control_gemini_12,control,gemini,11,0
control_gemini_12,control,gemini,12,1
control_gemini_13,control,gemini,1,0
control_gemini_13,control,gemini,2,0
control_gemini_13,control,gemini,3,0
control_gemini_13,control,gemini,4,0
control_gemini_13,control,gemini,5,0
control_gemini_13,control,gemini,6,0
control_gemini_13,control,gemini,7,0
control_gemini_13,control,gemini,8,0
control_gemini_13,control,gemini,9,0
control_gemini_14,control,gemini,1,0
control_gemini_14,control,gemini,2,0
control_gemini_14,control,gemini,3,0
control_gemini_14,control,gemini,4,0
control_gemini_14,control,gemini,5,0
control_gemini_14,control,gemini,6,0
control_gemini_14,control,gemini,7,0
control_gemini_14,control,gemini,8,0
control_gemini_14,control,gemini,9,0
control_gemini_14,control,gemini,10,0
control_gemini_15,control,gemini,1,0
control_gemini_15,control,gemini,2,0
control_gemini_15,control,gemini,3,0
control_gemini_15,control,gemini,4,0
control_gemini_15,control,gemini,5,0
control_gemini_15,control,gemini,6,1
control_gemini_16,control,gemini,1,0
control_gemini_16,control,gemini,2,0
control_gemini_16,control,gemini,3,0
control_gemini_16,control,gemini,4,0
control_gemini_16,control,gemini,5,0
control_gemini_16,control,gemini,6,0
control_gemini_16,control,gemini,7,0
control_gemini_16,control,gemini,8,1
control_gemini_17,control,gemini,1,0
control_gemini_17,control,gemini,2,0
control_gemini_17,control,gemini,3,0
control_gemini_17,control,gemini,4,0
control_gemini_17,control,gemini,5,0
control_gemini_17,control,gemini,6,0
control_gemini_17,control,gemini,7,0
control_gemini_17,control,gemini,8,1
control_gemini_18,control,gemini,1,0
control_gemini_18,control,gemini,2,0
control_gemini_18,control,gemini,3,0
control_gemini_18,control,gemini,4,0
control_gemini_18,control,gemini,5,0
control_gemini_18,control,gemini,6,0
control_gemini_18,control,gemini,7,0
control_gemini_18,control,gemini,8,0
control_gemini_18,control,gemini,9,0
control_gemini_18,control,gemini,10,1
control_gemini_19,control,gemini,1,0
control_gemini_19,control,gemini,2,0
control_gemini_19,control,gemini,3,0
control_gemini_19,control,gemini,4,0
control_gemini_19,control,gemini,5,0
control_gemini_19,control,gemini,6,1
disc_claude_0,disc,claude,1,0
disc_claude_0,disc,claude,2,0
disc_claude_0,disc,claude,3,0
disc_claude_0,disc,claude,4,0
disc_claude_1,disc,claude,1,0
disc_claude_1,disc,claude,2,0
disc_claude_1,disc,claude,3,0
disc_claude_1,disc,claude,4,0
disc_claude_1,disc,claude,5,1
disc_claude_2,disc,claude,1,0
disc_claude_2,disc,claude,2,0
disc_claude_2,disc,claude,3,0
disc_claude_2,disc,claude,4,1
disc_claude_3,disc,claude,1,0
disc_claude_3,disc,claude,2,0
disc_claude_3,disc,claude,3,0
disc_claude_3,disc,claude,4,1
disc_claude_4,disc,claude,1,0
disc_claude_4,disc,claude,2,0
disc_claude_4,disc,claude,3,0
disc_claude_4,disc,claude,4,0
disc_claude_5,disc,claude,1,0
disc_claude_5,disc,claude,2,0
disc_claude_5,disc,claude,3,0
disc_claude_5,disc,claude,4,0
disc_claude_5,disc,claude,5,0
disc_claude_6,disc,claude,1,0
disc_claude_6,disc,claude,2,0
disc_claude_6,disc,claude,3,0
disc_claude_6,disc,claude,4,0
disc_claude_6,disc,claude,5,1
disc_claude_7,disc,claude,1,0
disc_claude_7,disc,claude,2,0
disc_claude_7,disc,claude,3,0
disc_claude_7,disc,claude,4,1
disc_claude_8,disc,claude,1,0
disc_claude_8,disc,claude,2,0
disc_claude_8,disc,claude,3,0
disc_claude_8,disc,claude,4,0
disc_claude_8,disc,claude,5,1
disc_claude_9,disc,claude,1,0
disc_claude_9,disc,claude,2,0
disc_claude_9,disc,claude,3,0
disc_claude_9,disc,claude,4,1
disc_claude_10,disc,claude,1,0
disc_claude_10,disc,claude,2,0
disc_claude_10,disc,claude,3,0
disc_claude_10,disc,claude,4,0
disc_claude_11,disc,claude,1,0
disc_claude_11,disc,claude,2,0
disc_claude_11,disc,claude,3,0
disc_claude_11,disc,claude,4,0
disc_claude_11,disc,claude,5,0
disc_claude_12,disc,claude,1,0
disc_claude_12,disc,claude,2,0
disc_claude_12,disc,claude,3,0
disc_claude_12,disc,claude,4,0
disc_claude_12,disc,claude,5,0
disc_claude_12,disc,claude,6,0
disc_claude_12,disc,claude,7,1
disc_claude_13,disc,claude,1,0
disc_claude_13,disc,claude,2,0
disc_claude_13,disc,claude,3,0
disc_claude_13,disc,claude,4,0
disc_claude_13,disc,claude,5,1
disc_claude_14,disc,claude,1,0
disc_claude_14,disc,claude,2,0
disc_claude_14,disc,claude,3,0
disc_claude_14,disc,claude,4,1
disc_claude_15,disc,claude,1,0
disc_claude_15,disc,claude,2,0
disc_claude_15,disc,claude,3,0
disc_claude_15,disc,claude,4,0
disc_claude_15,disc,claude,5,0
disc_claude_15,disc,claude,6,1
disc_claude_16,disc,claude,1,0
disc_claude_16,disc,claude,2,0
disc_claude_16,disc,claude,3,0
disc_claude_16,disc,claude,4,0
disc_claude_16,disc,claude,5,1
disc_claude_17,disc,claude,1,0
disc_claude_17,disc,claude,2,0
disc_claude_17,disc,claude,3,0
disc_claude_17,disc,claude,4,1
disc_claude_18,disc,claude,1,0
disc_claude_18,disc,claude,2,0
disc_claude_18,disc,claude,3,0
disc_claude_18,disc,claude,4,0
disc_claude_18,disc,claude,5,1
disc_claude_19,disc,claude,1,0
disc_claude_19,disc,claude,2,0
disc_claude_19,disc,claude,3,0
disc_claude_19,disc,claude,4,0
disc_claude_19,disc,claude,5,1
disc_grok_0,disc,grok,1,0
disc_grok_0,disc,grok,2,0
disc_grok_0,disc,grok,3,0
disc_grok_0,disc,grok,4,0
disc_grok_0,disc,grok,5,1
disc_grok_1,disc,grok,1,0
disc_grok_1,disc,grok,2,0
disc_grok_1,disc,grok,3,0
disc_grok_1,disc,grok,4,0
disc_grok_2,disc,grok,1,0
disc_grok_2,disc,grok,2,0
disc_grok_2,disc,grok,3,0
disc_grok_2,disc,grok,4,0
disc_grok_2,disc,grok,5,1
disc_grok_3,disc,grok,1,0
disc_grok_3,disc,grok,2,0
disc_grok_3,disc,grok,3,0
disc_grok_3,disc,grok,4,0
disc_grok_3,disc,grok,5,0
disc_grok_3,disc,grok,6,1
disc_grok_4,disc,grok,1,0
disc_grok_4,disc,grok,2,0
disc_grok_4,disc,grok,3,0
disc_grok_4,disc,grok,4,0
disc_grok_4,disc,grok,5,0
disc_grok_4,disc,grok,6,1
disc_grok_5,disc,grok,1,0
disc_grok_5,disc,grok,2,0
disc_grok_5,disc,grok,3,0
disc_grok_5,disc,grok,4,0
disc_grok_5,disc,grok,5,0
disc_grok_5,disc,grok,6,0
disc_grok_5,disc,grok,7,0
disc_grok_5,disc,grok,8,0
disc_grok_5,disc,grok,9,1
disc_grok_6,disc,grok,1,0
disc_grok_6,disc,grok,2,0
disc_grok_6,disc,grok,3,0
disc_grok_6,disc,grok,4,0
disc_grok_6,disc,grok,5,0
